[I 241203 04:43:03 smartapi:165] on open
[I 241203 04:43:56 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3989719, 'exchange_timestamp': 1733201036000, 'last_traded_price': 2434305, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:57 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3990088, 'exchange_timestamp': 1733201037000, 'last_traded_price': 2434330, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:57 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3990486, 'exchange_timestamp': 1733201037000, 'last_traded_price': 2434275, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:58 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3990896, 'exchange_timestamp': 1733201038000, 'last_traded_price': 2434330, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:58 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3991288, 'exchange_timestamp': 1733201038000, 'last_traded_price': 2434295, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:59 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3991695, 'exchange_timestamp': 1733201039000, 'last_traded_price': 2434235, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:59 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3992113, 'exchange_timestamp': 1733201039000, 'last_traded_price': 2434280, 'subscription_mode_val': 'LTP'}
[I 241203 04:44:00 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3992504, 'exchange_timestamp': 1733201040000, 'last_traded_price': 2434230, 'subscription_mode_val': 'LTP'}
[I 241203 04:44:00 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3992968, 'exchange_timestamp': 1733201040000, 'last_traded_price': 2434200, 'subscription_mode_val': 'LTP'}
[I 241203 04:44:01 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3993395, 'exchange_timestamp': 1733201041000, 'last_traded_price': 2434185, 'subscription_mode_val': 'LTP'}
[I 241203 04:44:01 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3993830, 'exchange_timestamp': 1733201041000, 'last_traded_price': 2434245, 'subscription_mode_val': 'LTP'}
[I 241203 04:44:02 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3994200, 'exchange_timestamp': 1733201042000, 'last_traded_price': 2434230, 'subscription_mode_val': 'LTP'}
